,0
899,0.2890396
900,0.0045014
901,0.110619
902,0.0378
903,-0.0122652
904,0.1328256
905,0.009748
906,-0.037
907,0.0569559
908,0.0304
909,-0.0139392
910,0.044401
911,0.0871
912,0.0093379
913,0.0753233
914,-0.0083801
915,0.175651
916,0.5328293
917,0.0156218
918,0.048
919,0.02
920,0.1078033
921,0.1366887
922,-0.0797791
923,0.0241645
924,0.0412639
925,0.06922
926,0.3711937
927,0.1122
928,-0.0193063
929,0.0236759
930,0.3024783
931,0.0099497
932,0.0805655
933,0.0092185
934,0.052629
935,0.1148402
936,0.0500472
937,0.0145902
938,0.0739192
939,0.0040929
940,-0.05576
941,0.3942
942,-0.1734511
943,0.3838383
944,0.0858851
945,-0.0299532
946,0.052735
947,0.0131405
948,0.017772
949,0.025
950,-0.0923649
951,0.0681704
952,-0.0443753
953,0.0073598
954,0.0021291
955,0.0849384
956,0.1011039
957,-0.0605415
958,0.0710955
959,0.9785753
960,0.3604919
961,0.0874306
962,-0.0346079
963,-0.0332
964,0.0690416
965,-0.0143078
966,0.1126
967,0.055
968,0.0863603
969,-0.0345668
970,0.7271465
971,0.172
972,-0.0562107
973,0.0703893
974,0.0321122
975,-0.0205
976,-0.0575824
977,-0.0063819
978,0.0050939
979,0.1267123
980,-0.0816913
981,0.0079949
982,-0.0343661
983,0.0588937
984,0.074579
985,0.0339063
986,0.3
987,0.0673994
988,0.0438615
989,0.0078202
990,0.0012737
