"","svm_p_f_glpk_30","rxn_id","rxn_name"
"X1173",0.00121951219512195,"1173","'5-formyltetrahydrofolate:10-formyltetrahydrofolate isomerase'"
"X1178",0.00121951219512195,"1178","'9H-xanthine exchange'"
"X1180",0.00121951219512195,"1180","'acetaldehyde transport'"
"X1189",0.00487804878048781,"1189","'adenosine 3'',5''-bisphosphate transport'"
"X1196",0.00609756097560976,"1196","'alpha,alpha-trehalose exchange'"
"X1197",0.0109756097560976,"1197","'alpha-D-glucosamine 6-phosphate exchange'"
"X1250",0.00609756097560976,"1250","'D-glucitol exchange'"
"X1287",0.00609756097560976,"1287","'dUMP transport'"
"X1333",0.00609756097560976,"1333","'glyoxylate transport'"
"X1335",0.00487804878048781,"1335","'guanine transport'"
"X1338",0.00487804878048781,"1338","'guanosine transport'"
"X1349",0.00365853658536586,"1349","'hexadecanal exchange'"
"X1361",0.00487804878048781,"1361","'indole-3-acetate transport'"
"X1362",0.00487804878048781,"1362","'inosine exchange'"
"X1384",0.0024390243902439,"1384","'isobutyl alcohol transport'"
"X1418",0.00975609756097562,"1418","'L-proline transport'"
"X1476",0.00487804878048781,"1476","'ornithine exchange'"
"X1477",0.00487804878048781,"1477","'oxaloacetate transport'"
"X1481",0.00365853658536586,"1481","'oxygen exchange'"
"X1506",0.00487804878048781,"1506","'pyrophosphate transport'"
"X1591",0.00609756097560976,"1591","'14-demethyllanosterol transport'"
"X1592",0.00609756097560976,"1592","'ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange'"
